HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
c5405cb2a3052c010586b6f67c0ff0dceaf10e6c4409966ae7970a030a03ce84,f7411c559eede7647b30d23000413d46eaaff919de020f3aad73a766e5f351f7,f069633eee08daad3a7c129f5bf2fbfdfca6f1939aebe201a062495f19044c8f,5000.000,147,826.494,30248.237,826.494,1505.971,3285.234,5000.000,7609.808,16600.585,30248.237
c5405cb2a3052c010586b6f67c0ff0dceaf10e6c4409966ae7970a030a03ce84,1d489b0ab02f7939aa96e6ce38c518d94fcd9d3e184344525e2bf495d2787a85,94b078baa683dfa4c87282df84453bfaed6543638e0348dc7913c2e5ddf15c41,400.000,139,66.120,2419.859,66.120,120.478,262.819,400.000,608.785,1328.047,2419.859
c5405cb2a3052c010586b6f67c0ff0dceaf10e6c4409966ae7970a030a03ce84,bca9c5b6b2b4116fb6ca63b2039e84837d08b9dd0512ed97a058f24d15d2f415,82f1687657dae38bcce2668c124d87e4fbab08738633b82394945ffa4dd98d63,100.000,132,16.530,604.965,16.530,30.119,65.705,100.000,152.196,332.012,604.965
c5405cb2a3052c010586b6f67c0ff0dceaf10e6c4409966ae7970a030a03ce84,62385bfe872ea02c0438d99d04790006cb383a4f10c8bc383103427fea4c6388,70583d5fa5dc217761aaf2b4c6398bb8147ce61fe898df00c6dcee07fedbab65,800.000,126,132.239,4839.718,132.239,240.955,525.637,800.000,1217.569,2656.094,4839.718
0036b92cf6a4f79ae355330d784431855b3fd1b41c047faa055090589d880eb0,d1f1cb362fb94f7a3033028801470f6d22c56ad5055d3cf5a6e789b724f99a93,f180b10371b5f06a871705264b2cd2e5c39c0add0f9c63c6a2d182dfbe2466ec,50.000,120,8.265,302.482,8.265,15.060,32.852,50.000,76.098,166.006,302.482
0036b92cf6a4f79ae355330d784431855b3fd1b41c047faa055090589d880eb0,0e86226e43112bb18b8a0263d9a00e174f83ac081b4f7b326686d71ea9214652,7f245f38f9e94e4988ebe2bb939e75328ea260e2cb39fcc18716f51b6491d6a6,500.000,115,82.649,3024.824,82.649,150.597,328.523,500.000,760.981,1660.058,3024.824
0036b92cf6a4f79ae355330d784431855b3fd1b41c047faa055090589d880eb0,332787fd9c41c1e8f2ddfb13aafbed8ed556e03c282ac534f61b7dd96312b97a,2148a1a81106a6129f3ec978dca039ee7efd11ad1e3ed424e9d568b5d08ade3b,60000.000,110,9917.933,362978.848,9917.933,18071.653,39422.809,60000.000,91317.693,199207.015,362978.848
0036b92cf6a4f79ae355330d784431855b3fd1b41c047faa055090589d880eb0,e36c08f7ad305c5f34c40a09c43d35893f9e19f51f9f3deb8514c2f17dec4e4d,377c0700e08d20e9892ac704b7d30c46fbce5c6c9cab8b74f13f9603e5226b49,5000.000,106,826.494,30248.237,826.494,1505.971,3285.234,5000.000,7609.808,16600.585,30248.237
0036b92cf6a4f79ae355330d784431855b3fd1b41c047faa055090589d880eb0,b777413739db54f4adc835d89ef433eb74478820cfb4c3a7778873aff737b6dc,f99826405579ac285d6526fc65d4d8dd1275754f6279f4ccfcb132ac089d5b86,60000.000,101,9917.933,362978.848,9917.933,18071.653,39422.809,60000.000,91317.693,199207.015,362978.848
9602ca2fd177a03c23826a38ed9bfe1dad8cc279b1bce453665d9e8f8600651f,a00962fa8a6becd4bebda91090e79b70a858536ede4c364eddc98a90ba6645d9,c44d5014585090f603d9a18c695323fdee8a6923c56790e7dca6e7d33bb109bb,1200.000,97,198.359,7259.577,198.359,361.433,788.456,1200.000,1826.354,3984.140,7259.577
9602ca2fd177a03c23826a38ed9bfe1dad8cc279b1bce453665d9e8f8600651f,cc104b1b29304bd1afefedb6f4b3578d629a0486b08bcb02d3d8d8b05eb2f890,7e08d2b6fcb63112a417c2d5efee48e613d5325c21f55865f73596faa616c365,2500.000,94,413.247,15124.119,413.247,752.986,1642.617,2500.000,3804.904,8300.292,15124.119
9602ca2fd177a03c23826a38ed9bfe1dad8cc279b1bce453665d9e8f8600651f,04e7a587393df98f05344bae1558afe4fcac0149a41ad59eda328314e595f35a,834b4dfc217ba12d4617572444131ea79aff46390a43359968a4764ba35f64d9,100.000,90,16.530,604.965,16.530,30.119,65.705,100.000,152.196,332.012,604.965
9602ca2fd177a03c23826a38ed9bfe1dad8cc279b1bce453665d9e8f8600651f,64df2fe7adde5f40224e144473c9b2a6f48a490466c7b47dfe07ca6a9ebcac62,a64bcf92f427968647d366fb9cde09d7af077800968da52c81c546957d831328,200.000,87,33.060,1209.929,33.060,60.239,131.409,200.000,304.392,664.023,1209.929
9602ca2fd177a03c23826a38ed9bfe1dad8cc279b1bce453665d9e8f8600651f,6732be6d9ed47056d5cadb751c1b72b0b2da474e4e3872e3b16762e7f43f5f87,7cebaad57f5f6ed37bda658a1d0dff42b11955602522c5304096abff26c8e8d7,100.000,84,16.530,604.965,16.530,30.119,65.705,100.000,152.196,332.012,604.965
870fbabd521eeb2ac0439c821c61c9aeca012e4b847fdccddc440baf8a099a1d,a2a4642b1acce9911f5a4109b4f025f25aa305201b066e47567a7dc29ebcb67c,67dcda16a278ab8541a5e7aff3cdb200720413a2e5598960a1c5ff7380a68bcf,1500.000,81,247.948,9074.471,247.948,451.791,985.570,1500.000,2282.942,4980.175,9074.471
870fbabd521eeb2ac0439c821c61c9aeca012e4b847fdccddc440baf8a099a1d,1c333de4a9634d04c8874cc2ca3ce5b0bc0e5478545bf6e3aaaafb8942b5accf,1be392e4ba082e34882a5af749921281e779ff96cb7918aaa0ddb42f9ffb0297,5000.000,79,826.494,30248.237,826.494,1505.971,3285.234,5000.000,7609.808,16600.585,30248.237
870fbabd521eeb2ac0439c821c61c9aeca012e4b847fdccddc440baf8a099a1d,f34ca19cbd7e334baa2a5950ae6eeb83b632f005bbc9774a931a3e10aa0e2506,adb25a6e5fb449b4c6671fcdc6fb2a1a87dbdbe5895c97e140cd0d624bcf1888,5000.000,76,826.494,30248.237,826.494,1505.971,3285.234,5000.000,7609.808,16600.585,30248.237
870fbabd521eeb2ac0439c821c61c9aeca012e4b847fdccddc440baf8a099a1d,66dd4b0d318faecb466afdcff0b48ea64e28f2a1f47eb8acddbb5edebae951f7,00c94d77d918e8694296c559024915a66c896a2fc0534772a8ac9f3faf3c5c8b,50.000,74,8.265,302.482,8.265,15.060,32.852,50.000,76.098,166.006,302.482
870fbabd521eeb2ac0439c821c61c9aeca012e4b847fdccddc440baf8a099a1d,6d7b2ecabf0f6299a64637af1956cac0087c96f63d32b509c23b64588872d873,c998d13ac7df6823e21057d3088d48ce32a76389403b6d1d3fc25706ff7bff58,5000.000,72,826.494,30248.237,826.494,1505.971,3285.234,5000.000,7609.808,16600.585,30248.237
5e1db6e28fabdc05354e73927e9aab8b529f7ff19e48018e0743ecb6f0bd11e1,f2b62b87ec44fe12a3182f4d164572e51911aef0cc65b095cf4850d6c3474155,a0daf8df5e480e5d031d86a1b9bb712f2a698236a4b6ae98289fe1fc257fadc6,50.000,70,8.265,302.482,8.265,15.060,32.852,50.000,76.098,166.006,302.482
5e1db6e28fabdc05354e73927e9aab8b529f7ff19e48018e0743ecb6f0bd11e1,0b09111eb0e3b78b6880503e89897c3e9b2bbb89e56db957d13a912a1184a5fd,1a2a184468cc8894803f056b0c4769454f1cefeed3ca9979d9712804258b8368,100.000,68,16.530,604.965,16.530,30.119,65.705,100.000,152.196,332.012,604.965
5e1db6e28fabdc05354e73927e9aab8b529f7ff19e48018e0743ecb6f0bd11e1,8cfbe5c48eba13c7ff9bf49c1f731bebb4bab6a2a74ae171496a3af61d31a829,a004b3a73338ed21808f00c422332558c31d09bfc8a53dec05ed9ae4cad53bf4,200.000,66,33.060,1209.929,33.060,60.239,131.409,200.000,304.392,664.023,1209.929
5e1db6e28fabdc05354e73927e9aab8b529f7ff19e48018e0743ecb6f0bd11e1,f042e562b8e27b1d58ea108f55a50b397068770b5bbd99faed274cb8b2fe6bf8,e9ce1d6108f850e540c9f29013af83756e20f63b7f7dc9eada40b87b171ba66e,400.000,64,66.120,2419.859,66.120,120.478,262.819,400.000,608.785,1328.047,2419.859
5e1db6e28fabdc05354e73927e9aab8b529f7ff19e48018e0743ecb6f0bd11e1,dc28b3ce3f075ff88e1833034410214d529f53b058b015016d2c45caec34be4a,b4d95797ea3f103eaa80612ec293762d6dd9ad9725d3401f39699eec7aa6f500,1500.000,62,247.948,9074.471,247.948,451.791,985.570,1500.000,2282.942,4980.175,9074.471
65aa88a55c48466d8b47b8c0378dce63e4ad540cf3e71c48ae759dd9dccb69dd,baa16371a0f2136e083e85540f3d699bb9f9a72e8b21f5786756ef70b9780afa,82b1cc143408258846466109b659e161a1efbc221dad350d0df06b48d5a9111d,1200.000,61,198.359,7259.577,198.359,361.433,788.456,1200.000,1826.354,3984.140,7259.577
65aa88a55c48466d8b47b8c0378dce63e4ad540cf3e71c48ae759dd9dccb69dd,08a383e3b2548b0fd158a0770347a94caf7ba47f5295559dcd2ac1677f67d23c,a5afb31b7e3682a13dfeabecfa03143d807de60913ff5b0b24c965f40d14ec57,400.000,59,66.120,2419.859,66.120,120.478,262.819,400.000,608.785,1328.047,2419.859
65aa88a55c48466d8b47b8c0378dce63e4ad540cf3e71c48ae759dd9dccb69dd,f6dc5ae3ea10ce019c578a5b5831dd910b0d1618067a22b4ef55474f945bf591,c7f3a30a35ed2786398f03b3a019473cb874379872ab4820ed1b9c1cb4858d63,400.000,58,66.120,2419.859,66.120,120.478,262.819,400.000,608.785,1328.047,2419.859
65aa88a55c48466d8b47b8c0378dce63e4ad540cf3e71c48ae759dd9dccb69dd,2aaab6cce571c10c2d71fb986826ac75f672f295fcd3942b4fac899a231c54bb,e8e4e2684fefd92749c3e806e267f294d57d25790e7a16f594cb27bf96da2f06,400.000,56,66.120,2419.859,66.120,120.478,262.819,400.000,608.785,1328.047,2419.859
65aa88a55c48466d8b47b8c0378dce63e4ad540cf3e71c48ae759dd9dccb69dd,00ef32fd6e4e741e7bdc10894f513b7b36a4ad5c5f4a08df3a39d61cbfe083bd,41267e588938834e5e82316ba31716603f3c8208e2b630e9793d288e93b38221,500.000,55,82.649,3024.824,82.649,150.597,328.523,500.000,760.981,1660.058,3024.824
656ab7a166281f2756e6c402623089a4ae30ad930df79de42337d6569866fb2e,077f09eb27313a825ace7f627a717f4399e129577f43a8b2e38534aabe4d1a0f,0029f1673262aea47700563681772ae43a806e1975640583099a62503b6ae489,50.000,54,8.265,302.482,8.265,15.060,32.852,50.000,76.098,166.006,302.482
656ab7a166281f2756e6c402623089a4ae30ad930df79de42337d6569866fb2e,9ebbca9e23d45a2308a6e56a8cab54f0c31729c69825aa5b641e682431d448dc,e827d2fbc9ab6c02434492b3f848f1d509b0c6a5c5abe7169301d619f1c26e43,100.000,52,16.530,604.965,16.530,30.119,65.705,100.000,152.196,332.012,604.965
656ab7a166281f2756e6c402623089a4ae30ad930df79de42337d6569866fb2e,13e9da67d0d104fd844f59bce6b4f62224f7b62d83a0f9def8629ee3e80f4aa6,9a2c6203d5e1b71e6cd190b3e05e17caa242795ee855957a6589a57827363fe9,800.000,51,132.239,4839.718,132.239,240.955,525.637,800.000,1217.569,2656.094,4839.718
656ab7a166281f2756e6c402623089a4ae30ad930df79de42337d6569866fb2e,e98d1eaca90ba4bd94710e68592544b64e67abbc8cf759072c07696bb13a7aed,f62b2bf7994c83e4b64702dc37f7057e75221aea94e7bbf5ccf08cd42fe8ba59,200.000,50,33.060,1209.929,33.060,60.239,131.409,200.000,304.392,664.023,1209.929
656ab7a166281f2756e6c402623089a4ae30ad930df79de42337d6569866fb2e,a11a01288685ef44754c04da34ebe6ae8bb386e60f1d8f299e2f01cb89e903af,88989f2480ed31897b07c77fbab42103799d0bd94d23c3b4a4ebb89d0064a9bb,800.000,49,132.239,4839.718,132.239,240.955,525.637,800.000,1217.569,2656.094,4839.718
4813767110518e3ec15235b3f96da4ea9efb310295946f43c55cc45c0ceec2a4,24c8fdda4af8e2beffae3ffd9e0b2891278e5a0581a095e4017675f63eca1c8d,acb0649d9e06e000ce89e498e0b3062ba2cf4e42497678aa76d063fcdcda2153,1200.000,48,198.359,7259.577,198.359,361.433,788.456,1200.000,1826.354,3984.140,7259.577
4813767110518e3ec15235b3f96da4ea9efb310295946f43c55cc45c0ceec2a4,660fccae6646d19820d37ad2e4214a78e52c42762964b72965b15cf5ccc8675c,7575dcdb5c1273cb27af64cde46c311214e7cc8e6d40592dd669f5963323f26e,500.000,47,82.649,3024.824,82.649,150.597,328.523,500.000,760.981,1660.058,3024.824
4813767110518e3ec15235b3f96da4ea9efb310295946f43c55cc45c0ceec2a4,596817b797b5a64aa7eea830e3205014a91fe426b752d3673dc91401ecb00c70,9833e561ee354c28bdaf5ca053f0c961d0d4a80b5b9b1ab50cb4a857462c359a,50.000,46,8.265,302.482,8.265,15.060,32.852,50.000,76.098,166.006,302.482
4813767110518e3ec15235b3f96da4ea9efb310295946f43c55cc45c0ceec2a4,d79d11a119c414eff534a72eb8787168d23e5446fa598f66af23fa249f41f932,af4f6b474ff58bc14df58a1ac36585e4dd5efc38c6c3bd1dad37797e8a24ada8,200.000,45,33.060,1209.929,33.060,60.239,131.409,200.000,304.392,664.023,1209.929
4813767110518e3ec15235b3f96da4ea9efb310295946f43c55cc45c0ceec2a4,0b5af8cac49ee350ca00988fe3b8b74e0b88a8182ad03ec2507e0209a4bc5545,8e803854417a3e62afc9539be6f0dcb27d37d2dc9c768c0e2575142cf4a04083,2500.000,44,413.247,15124.119,413.247,752.986,1642.617,2500.000,3804.904,8300.292,15124.119
